,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
20,,,44.173558472473,43.3532376512676,42.3884005445051,41.5427965949118,40.669767391036,39.8975441094647,39.0640823187951,38.2306205281255,37.58819806917,36.9457756102144,36.4604242710653,36.1953060845753,36.0351099406155,36.0315242778999,36.2116387849121,36.5293537133878,37.0586822763695,37.5542778424267,38.3127377785098,39.0711977145929,39.8735807957001,40.7336193856406,41.5500019905506,42.3958537093249,43.1864914561615,43.9771292029982,,
21,,,44.3963650392197,43.8414352430569,42.9332327846575,42.0770855629494,41.2209383412414,40.4487150596701,39.6764917780988,38.9809491010111,38.4581227863693,37.9352964717274,37.4124701570855,37.1106909805139,37.0554168790845,37.049683284379,37.2297977913912,37.4099122984033,37.9024535662479,38.3949948340926,39.0426800689307,39.6903653037688,40.4436385379219,41.2305520289677,42.0645928486013,42.898633668235,43.4874186320952,44.0762035959554,,
22,,,,44.1157681745923,43.4780650248098,42.6684601558873,41.8972864228178,41.1645438256014,40.4318012283851,39.7661194658058,39.2610058428065,38.755892219807,38.3836725964031,38.0945144149044,38.077390637241,38.0858827280659,38.0943748188908,38.4748204878467,38.8552661568025,39.2357118257584,39.8480852460633,40.4604586663682,41.1199946201151,41.8648631451496,42.8046442363292,43.4811782320193,44.0762035959554,,,
23,,,,,43.9096279682361,43.3063771016106,42.586222682367,41.8660682631234,41.2320544959445,40.628121890325,40.0993142825286,39.7270946591247,39.3548750357208,39.2644373121957,39.1739995886705,39.0835618651454,39.1006103808167,39.4544752436516,39.8083401064866,40.1681599893309,40.6395605902508,41.2305520289677,41.8648631451496,42.7106548044235,43.4749378319434,44.0762035959554,,,,
24,,,,,44.0762035959554,43.6882694469085,43.3003352978616,42.6362403691233,42.0749153374872,41.5135903058511,41.0375126045698,40.6547815612292,40.3573037849164,40.2175928791783,40.1609069969238,40.1042211146693,40.1146432261363,40.3809683872149,40.7378107600545,41.1006081529034,41.5177071497878,42.0434093547433,42.6636600884706,43.4686974318676,44.0762035959554,44.4359067409615,,,,
25,,,,,,44.0762035959554,43.7635402519475,43.4508769079395,42.9591549141634,42.4674329203872,41.9757109266111,41.5824684633337,41.359732534112,41.1369966048903,41.1392219955677,41.122114001273,41.1873705482637,41.3074615307782,41.6702589236271,42.033056316476,42.3958537093249,42.9291553705583,43.4624570317917,44.0762035959554,44.4407936152966,,,,,
26,,,,,,,,43.9965902444719,43.588522172605,43.1804541007381,42.8684066288738,42.5490168102421,42.3034796362561,42.2083367668289,42.161878027454,42.1400068878766,42.2776495266636,42.4152921654507,42.5529348042377,42.9267637190925,43.3005926339472,43.6130844205648,44.0762035959554,,,,,,,
27,,,,,,,,,44.3147308550978,43.9771292029982,43.7611023311365,43.5083349284816,43.2555675258267,43.1476339027796,43.1845340593402,43.3017249127239,43.4189157661076,43.5361066194913,43.6532974728751,43.7704883262588,43.9233459611071,44.0762035959554,,,,,,,,
28,,,,,,,,,,,,44.3477082729168,44.1487603466612,43.9548880127425,44.0637146454735,44.1634065356086,44.2539636831479,44.3353860880914,44.407673750439,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
